REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2032,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2033,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2034,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2035,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2036,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2037,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2038,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2039,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2040,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2041,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2042,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2043,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2044,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2045,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2046,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2047,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2048,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2049,1
GLOBAL,PWRTRNCHNTI,ELCCHNTI02,1,2050,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2015,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2016,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2017,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2018,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2019,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2020,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2021,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2022,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2023,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2024,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2025,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2026,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2027,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2028,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2029,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2030,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2031,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2032,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2033,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2034,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2035,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2036,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2037,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2038,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2039,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2040,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2041,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2042,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2043,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2044,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2045,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2046,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2047,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2048,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2049,1
GLOBAL,PWRTRNCHNTJ,ELCCHNTJ02,1,2050,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2015,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2016,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2017,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2018,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2019,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2020,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2021,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2022,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2023,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2024,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2025,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2026,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2027,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2028,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2029,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2030,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2031,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2032,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2033,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2034,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2035,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2036,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2037,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2038,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2039,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2040,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2041,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2042,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2043,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2044,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2045,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2046,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2047,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2048,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2049,1
GLOBAL,PWRTRNCHNWM,ELCCHNWM02,1,2050,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2015,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2016,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2017,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2018,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2019,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2020,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2021,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2022,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2023,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2024,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2025,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2026,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2027,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2028,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2029,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2030,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2031,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2032,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2033,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2034,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2035,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2036,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2037,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2038,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2039,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2040,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2041,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2042,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2043,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2044,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2045,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2046,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2047,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2048,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2049,1
GLOBAL,PWRTRNCHNXI,ELCCHNXI02,1,2050,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2015,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2016,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2017,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2018,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2019,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2020,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2021,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2022,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2023,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2024,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2025,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2026,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2027,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2028,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2029,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2030,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2031,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2032,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2033,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2034,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2035,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2036,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2037,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2038,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2039,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2040,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2041,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2042,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2043,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2044,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2045,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2046,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2047,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2048,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2049,1
GLOBAL,PWRTRNCHNYU,ELCCHNYU02,1,2050,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2015,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2016,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2017,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2018,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2019,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2020,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2021,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2022,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2023,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2024,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2025,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2026,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2027,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2028,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2029,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2030,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2031,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2032,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2033,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2034,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2035,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2036,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2037,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2038,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2039,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2040,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2041,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2042,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2043,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2044,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2045,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2046,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2047,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2048,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2049,1
GLOBAL,PWRTRNCHNZH,ELCCHNZH02,1,2050,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2015,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2016,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2017,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2018,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2019,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2020,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2021,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2022,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2023,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2024,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2025,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2026,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2027,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2028,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2029,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2030,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2031,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2032,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2033,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2034,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2035,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2036,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2037,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2038,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2039,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2040,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2041,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2042,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2043,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2044,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2045,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2046,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2047,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2048,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2049,1
GLOBAL,PWRTRNRUSCE,ELCRUSCE02,1,2050,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2015,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2016,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2017,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2018,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2019,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2020,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2021,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2022,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2023,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2024,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2025,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2026,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2027,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2028,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2029,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2030,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2031,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2032,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2033,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2034,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2035,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2036,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2037,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2038,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2039,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2040,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2041,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2042,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2043,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2044,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2045,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2046,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2047,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2048,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2049,1
GLOBAL,PWRTRNRUSFE,ELCRUSFE02,1,2050,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2015,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2016,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2017,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2018,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2019,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2020,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2021,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2022,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2023,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2024,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2025,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2026,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2027,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2028,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2029,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2030,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2031,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2032,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2033,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2034,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2035,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2036,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2037,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2038,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2039,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2040,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2041,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2042,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2043,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2044,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2045,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2046,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2047,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2048,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2049,1
GLOBAL,PWRTRNRUSMV,ELCRUSMV02,1,2050,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2015,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2016,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2017,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2018,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2019,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2020,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2021,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2022,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2023,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2024,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2025,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2026,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2027,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2028,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2029,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2030,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2031,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2032,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2033,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2034,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2035,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2036,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2037,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2038,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2039,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2040,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2041,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2042,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2043,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2044,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2045,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2046,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2047,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2048,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2049,1
GLOBAL,PWRTRNRUSNW,ELCRUSNW02,1,2050,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2015,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2016,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2017,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2018,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2019,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2020,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2021,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2022,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2023,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2024,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2025,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2026,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2027,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2028,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2029,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2030,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2031,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2032,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2033,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2034,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2035,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2036,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2037,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2038,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2039,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2040,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2041,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2042,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2043,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2044,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2045,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2046,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2047,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2048,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2049,1
GLOBAL,PWRTRNRUSSI,ELCRUSSI02,1,2050,1
GLOBAL,PWRTRNRUSSO,ELCRUSSO02,1,2015,1
GLOBAL,PWRTRNRUSSO,ELCRUSSO02,1,2016,1
GLOBAL,PWRTRNRUSSO,ELCRUSSO02,1,2017,1
GLOBAL,PWRTRNRUSSO,ELCRUSSO02,1,2018,1
GLOBAL,PWRTRNRUSSO,ELCRUSSO02,1,2019,1
GLOBAL,PWRTRNRUSSO,ELCRUSSO02,1,2020,1
